Attempt,SampleSize,TimeTaken,CPU,MEM,Accuracy,Loss,Target
attempt1,6000,3057.6315371990204,1500,3121.2,90.97,27.15,0
attempt2,3000,1570.4450342655182,1500,1865.4,85.49,42.45,1
attempt3,1800,889.7908432483673,1500,1249.2,81.10,55.43,2
dissimilar,3000,1036.0135221481323,1500,1622.7,81.65,53.21,3
dissimilar,1,1280.2514429092407,3
similarAll,5800,760.1545317173004,2027.5,0
similarAll,5800,1888.4653086662292,2028.0,0
dissimilar,1,4705.941040754318,3
similar,1,18559.579073905945,3
_________________________________
dissimilar,1,53.92051577568054,3
dissimilar,1,54.04992938041687,3
dissimilar,1,9446.34757733345,3
dissimilar,1,9444.342107534409,3
similar,1,2452.684616088867,3
similar,1,4892.34666633606,3
similar,1,54.282448291778564,3
__________________________________
T6,4,3151.6659355163574
T4,4,4997.4378979206085
T5,4,10012.892601966858
T7,4,6369.48050904274
T8,4,3191.773538827896
T9,4,6360.363538265228
T10,4,3175.1687426567078
T11,4,6358.295984983444
__________________________________
T21,4,5765.480440378189
T22,4,11575.548021316528
T23,4,3713.2913451194763
T24,4,7421.3543791770935
T25,4,3727.9164271354675
T26,4,7442.154856681824
__________________________________
T31,4,16975.169937610626
T32,4,34049.378958940506
T33,4,10660.429826974869
T34,4,20974.73438310623
T35,4,10664.837588310242
T36,4,21386.506284236908
T41,4,227.80574560165405
T41,4,10860.425658226013
T42,4,21638.323172569275
T43,4,6755.18258357048
T44,4,13569.391928434372
T45,4,6749.739528656006
T46,4,13642.174671411514
T0,4,148.8706510066986
